date,spot,iv,lsp,kelly,budget,used,call_lots,put_lots,delta,equity
2026-03-01,3.125,0.147,0.003,0.1,100000.0,40930.0,5,5,48.0,1000000.0
2026-03-02,3.096,0.264,-0.15,0.1,100000.0,40756.0,5,5,-2417.0,1000000.0
2026-03-03,3.051,0.333,-0.354,0.1,100000.0,38847.0,5,5,-5799.0,1000000.0
2026-03-04,3.066,0.414,-0.297,0.1,100000.0,38471.0,5,5,-4847.0,1000000.0
2026-03-05,3.068,0.396,-0.307,0.1,100000.0,38393.0,5,5,-5006.0,1000000.0
2026-03-08,3.041,0.389,-0.319,0.1,100000.0,37577.0,5,5,-5244.0,1000000.0
2026-03-09,3.06,0.456,0.326,0.1,100000.0,37505.0,5,5,5324.0,1000000.0
2026-03-10,3.062,0.259,0.569,0.1,100000.0,35514.0,4,6,9296.0,1000000.0
2026-03-11,3.047,0.253,0.392,0.1,100000.0,37539.0,5,5,6434.0,1000000.0
2026-03-12,3.035,0.252,0.183,0.1,100000.0,37405.0,5,5,3023.0,1000000.0
2026-03-15,3.028,0.172,0.056,0.1,100000.0,37106.0,5,5,931.0,1000000.0
2026-03-16,3.039,0.111,0.007,0.1,100000.0,37083.0,5,5,114.0,1000000.0
2026-03-17,3.035,0.1,-0.093,0.1,100000.0,36890.0,5,5,-1537.0,1000000.0
2026-03-18,2.993,0.293,-0.316,0.1,100000.0,36586.0,5,5,-5282.0,1000000.0
2026-03-19,2.957,0.359,-0.641,0.1,100000.0,35402.0,6,4,-10843.0,1000000.0
2026-03-22,2.868,0.714,-0.777,0.1,100000.0,38010.0,6,4,-13554.0,1000000.0
2026-03-23,2.9,0.855,-0.636,0.1,100000.0,36774.0,6,4,-10972.0,1000000.0
2026-03-24,2.93,0.992,-0.196,0.1,100000.0,36625.0,5,5,-3348.0,1000000.0
2026-03-25,2.897,0.978,-0.202,0.1,100000.0,38216.0,5,5,-3488.0,999999.93
2026-03-26,2.909,0.992,0.054,0.1,100000.0,37580.0,5,5,922.0,999999.96
2026-03-29,2.905,0.455,0.379,0.1,100000.0,38132.0,5,5,6526.0,999999.92
2026-03-30,2.902,0.373,0.285,0.1,100000.0,38014.0,5,5,4916.0,999999.95
2026-03-31,2.951,0.516,0.266,0.1,100000.0,34964.0,5,5,4513.0,1000000.05
2026-04-01,2.926,0.463,0.318,0.1,100000.0,36667.0,5,5,5439.0,999999.98
2026-04-02,2.901,0.523,0.103,0.1,100000.0,38104.0,5,5,1775.0,999999.94
2026-04-06,2.9,0.523,0.118,0.1,100000.0,37850.0,5,5,2031.0,999999.97
2026-04-07,2.978,0.87,0.484,0.1,100000.0,35141.0,5,5,8123.0,1000000.06
2026-04-08,2.958,0.817,0.24,0.1,100000.0,34991.0,5,5,4064.0,1000000.05
2026-04-09,2.972,0.763,0.423,0.1,100000.0,35089.0,5,5,7115.0,1000000.06
2026-04-12,2.972,0.68,0.559,0.1,100000.0,35784.0,4,6,9409.0,1000000.06
2026-04-13,2.997,0.661,0.555,0.1,100000.0,35376.0,4,6,9264.0,1000000.06
2026-04-14,3.008,0.23,0.356,0.1,100000.0,35416.0,5,5,5917.0,1000000.08
2026-04-15,3.014,0.066,0.654,0.1,100000.0,35102.0,4,6,10851.0,1000000.08
2026-04-16,2.982,0.309,-0.166,0.1,100000.0,35214.0,5,5,-2783.0,1000000.07
2026-04-19,3.007,0.329,0.278,0.1,100000.0,35479.0,5,5,4618.0,1000000.07
2026-04-20,3.006,0.266,0.244,0.1,100000.0,35472.0,5,5,4066.0,1000000.07
2026-04-21,3.005,0.252,0.303,0.1,100000.0,35435.0,5,5,5047.0,1000000.07
2026-04-22,3.001,0.245,0.225,0.1,100000.0,35142.0,5,5,3745.0,1000000.07
2026-04-23,3.018,0.08,0.622,0.1,100000.0,34928.0,4,6,10312.0,1000000.07
2026-04-26,3.013,0.0,0.51,0.1,100000.0,34792.0,4,6,8472.0,1000000.07
2026-04-27,3.024,0.018,0.614,0.1,100000.0,34584.0,4,6,10146.0,1000000.07
